epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,4326.32,0.45625,0.26109,0.82307,0.97464,0.99538,0.995,0.85143,0.70833,0.28295,0.95205,0.000113766,0.000113766,0.000113766
138,4357.39,0.44791,0.25779,0.8225,0.96889,0.97362,0.98567,0.85714,0.71676,0.2831,0.95284,0.000106434,0.000106434,0.000106434
139,4388.76,0.45517,0.25916,0.82653,0.96917,0.97381,0.98559,0.85311,0.70396,0.28239,0.95122,9.91012e-05,9.91012e-05,9.91012e-05
140,4420.25,0.4488,0.25882,0.81959,0.9795,0.98944,0.995,0.85431,0.71029,0.28692,0.95757,9.17686e-05,9.17686e-05,9.17686e-05
141,4475.97,0.42915,0.24162,0.80759,0.97677,0.98779,0.995,0.84824,0.7241,0.28993,0.96511,8.4436e-05,8.4436e-05,8.4436e-05
142,4506.35,0.44851,0.24909,0.80854,0.97615,0.98743,0.995,0.85203,0.70661,0.28348,0.96256,7.71034e-05,7.71034e-05,7.71034e-05
143,4537.19,0.42037,0.23304,0.80905,0.97683,0.98748,0.995,0.85655,0.71532,0.28731,0.95948,6.97708e-05,6.97708e-05,6.97708e-05
144,4568.32,0.42129,0.23689,0.81963,0.97708,0.98702,0.995,0.85596,0.7044,0.28203,0.95881,6.24382e-05,6.24382e-05,6.24382e-05
145,4599.46,0.41919,0.23448,0.80954,0.97939,0.98655,0.995,0.85974,0.69867,0.28233,0.95545,5.51056e-05,5.51056e-05,5.51056e-05
146,4630.56,0.41101,0.23533,0.81674,0.97992,0.98598,0.995,0.85831,0.70646,0.28218,0.95697,4.7773e-05,4.7773e-05,4.7773e-05
147,4661.48,0.41847,0.2357,0.81032,0.98003,0.98572,0.995,0.85094,0.71036,0.28017,0.95904,4.04404e-05,4.04404e-05,4.04404e-05
148,4692.6,0.40434,0.23079,0.80492,0.97955,0.98572,0.995,0.85445,0.71035,0.28407,0.95613,3.31078e-05,3.31078e-05,3.31078e-05
149,4723.69,0.39855,0.22768,0.80617,0.97975,0.98597,0.995,0.85565,0.70922,0.27988,0.95519,2.57752e-05,2.57752e-05,2.57752e-05
150,4754.85,0.40035,0.23137,0.80833,0.98018,0.98631,0.995,0.86013,0.71092,0.28186,0.95645,1.84426e-05,1.84426e-05,1.84426e-05
